Zipcode,Average Income
74569,2053.333333
74570,4363.166667
74571,11235.5
74572,2198.166667
74574,2225.333333
74577,691.8333333
74578,15880.33333
74601,52383.83333
74604,72970.16667
74630,1600.166667
74631,21649.83333
74632,1936.5
74633,1419.166667
74636,949.5
74637,4737.833333
74640,1117.666667
74641,2573.666667
74643,1849.333333
74644,1519.833333
74647,13596.66667
74650,1825.833333
74651,2333.166667
74652,2238.666667
74653,12328.83333
74701,91579.66667
74723,4048
74724,735.6666667
74726,6609.166667
74727,5205.333333
74728,35813.16667
74729,9203.5
74730,19568.83333
74731,3898.5
74733,9472.666667
74734,2134
74735,5247.333333
74736,3151.333333
74738,1197.166667
74740,5630.833333
74741,3474
74743,23096.66667
74745,28174.16667
74748,1927.166667
74754,715.6666667
74756,2197.166667
74759,4185.833333
74760,717
74764,11383.5
74766,3688.666667
74801,71216.5
74804,93438.16667
74820,120430
74824,3890.166667
74825,6899.166667
74826,3486.833333
74827,1155.166667
74829,1099.166667
74831,2551.833333
74832,2970.833333
74833,1807
74834,28785.5
74839,1366.666667
74840,6733
74843,1120.833333
74845,1159
74848,18311.33333
74849,9052.666667
74850,785.3333333
74851,37605.16667
74852,4713.666667
74854,5085.166667
74855,18054.5
74856,2973.833333
74857,46516.66667
74859,16748.83333
74860,4888.333333
74864,21114.83333
74865,6861
74867,2232.666667
74868,33839.16667
74869,2371.333333
74871,8388.166667
74872,12446.16667
74873,39591.5
74875,3678.166667
74878,5255.666667
74880,4314
74881,16455.5
74883,6629
74884,14122.5
74901,3726.166667
74902,14000.5
74930,5321.666667
74931,2746.5
74932,6148.666667
74936,2886.833333
74937,12930.33333
74939,1336.833333
74940,7595.333333
74941,5923.666667
74944,2281
74948,35762.33333
74949,675.6666667
74953,42447.16667
74954,16173.16667
74955,46988.83333
74956,5335
74957,2980.5
74959,17250.66667
74960,31927.5
74962,14114.33333
74963,1315.5
74964,6299.333333
74965,13275
74966,11991.5
99999,455879
Grand Total,32785.4127
